"Protein Accession","DNA Accession","ARO Name","ARO Accession"
ABB72431.1,DQ256079,CMY-22,ARO:3002033
ABF06441.1,DQ463751,CMY-23,ARO:3002034
ABN69070.1,EF415650,CMY-24,ARO:3002035
ACA30420.1,EU515249,CMY-25,ARO:3002036
BAF56185.1,AB300358,CMY-26,ARO:3002037
ACA30421.1,EU515250,CMY-27,ARO:3002038
ABQ51091.1,EF561644,CMY-28,ARO:3002039
ABS12248.1,EF685371,CMY-29,ARO:3002040
ABS12249.1,EF685372,CMY-30,ARO:3002041
ABR18736.1,EF622224,CMY-31,ARO:3002042
ACA97846.1,EU496815,CMY-32,ARO:3002043
ACA97847.1,EU496816,CMY-33,ARO:3002044
ABN51006.1,EF394370,CMY-34,ARO:3002045
ABN51007.1,EF394371,CMY-35,ARO:3002046
ABY58049.1,EU331426.1,CMY-36,ARO:3002047
BAF36388.1,AB280919,CMY-37,ARO:3002048
CAP60699.1,AM931008,CMY-38,ARO:3002049
BAF95726.1,AB372224,CMY-39,ARO:3002050
CAA75402.1,Y15130,CMY-4,ARO:3002015
ACA30422.1,EU515251,CMY-40,ARO:3002051
BAG14343.1,AB429270,CMY-41,ARO:3002052
ADM21467.1,HM146927,CMY-42,ARO:3002053
ACJ05361.1,FJ360626,CMY-43,ARO:3002054
ACJ65711.1,FJ437066,CMY-44,ARO:3002055
CBB16411.1,FN546177,CMY-45,ARO:3002056
CBH19182.1,FN556186,CMY-46,ARO:3002057
ADH82410.1,HM046998,CMY-47,ARO:3002058
ADP02979.1,HM569226,CMY-48,ARO:3002059
ACV32310.1,GQ402541,CMY-49,ARO:3002060
YP_009075895.1,NG_035159,CMY-5,ARO:3002016
CBI75447.1,FN645444,CMY-50,ARO:3002061
AFK73431.1,JQ733571,CMY-51,ARO:3002062
ADQ38362.1,HQ336940,CMY-53,ARO:3002064
ADK55604.1,HM544039,CMY-54,ARO:3002065
ADK55605.1,HM544040,CMY-55,ARO:3002066
ADT91162.1,HQ322613,CMY-56,ARO:3002067
ADP37961.1,HQ285243,CMY-57,ARO:3002068
ADY19254.1,HQ185697,CMY-58,ARO:3002072
BAJ17544.1,AB587082,CMY-59,ARO:3002069
CAB36902.1,AJ011293,CMY-6,ARO:3002017
AEM97672.1,JF460794,CMY-60,ARO:3002073
AEM97673.1,JF460795,CMY-61,ARO:3002074
AEM97674.1,JF460796,CMY-62,ARO:3002075
AET07387.1,HQ650104,CMY-63,ARO:3002076
ADW84690.1,HQ832678,CMY-64,ARO:3002077
AEI52842.1,JF780936,CMY-65,ARO:3002078
AEZ49849.1,JN714478,CMY-66,ARO:3002079
AFK08541.1,JQ711185,CMY-67,ARO:3002080
AEZ49855.1,JN714480,CMY-68,ARO:3002081
AGE45504.1,JX049132,CMY-69,ARO:3002082
CAB36900.1,AJ011291,CMY-7,ARO:3002018
AFU25635.1,JX440350,CMY-70,ARO:3002083
AFK08538.1,JQ711184,CMY-71,ARO:3002084
AFU25641.1,JX440352,CMY-72,ARO:3002085
ACU00152.1,GQ351345,CMY-73,ARO:3002086
AFU25632.1,JX440349,CMY-74,ARO:3002087
AFK73434.1,JQ733572,CMY-75,ARO:3002088
AFK73437.1,JQ733573,CMY-76,ARO:3002089
AFU25644.1,JX440353,CMY-77,ARO:3002090
AFK73443.1,JQ733575,CMY-78,ARO:3002091
AFK73446.1,JQ733576,CMY-79,ARO:3002092
AAD50818.2,AF167990,CMY-8,ARO:3002019
AFK73449.1,JQ733577,CMY-80,ARO:3002093
AFK73452.1,JQ733578,CMY-81,ARO:3002094
AHL39324.1,KJ207203,CMY-82,ARO:3002095
AFU25638.1,JX440351,CMY-83,ARO:3002096
AFK73455.1,JQ733579,CMY-84,ARO:3002097
AHL39322.1,KJ207202,CMY-85,ARO:3002098
AHL39327.1,KJ207204,CMY-86,ARO:3002099
BAL63057.1,AB699171,CMY-87,ARO:3002100
BAB72158.1,AB061794,CMY-9,ARO:3002020
CCK86743.1,HE819404,CMY-90,ARO:3002103
AHM76768.1,KF992025,CMY-93,ARO:3002106
AGC54798.1,JX514368,CMY-94,ARO:3002107
AGC54799.1,JX514369,CMY-95,ARO:3002108
AGH70380.1,KC603538,CMY-98,ARO:3002111
AGU59995.1,KF305673,CMY-99,ARO:3002070
NP_214233.1,NC_000918,cphA1,ARO:3003098
AAB03413.1,U60294,cphA2,ARO:3003099
AAP69912.1,AY227050,cphA4,ARO:3003100
AAP69913.1,AY227051,cphA5,ARO:3003101
AAP69914.1,AY227052,cphA6,ARO:3003102
CAA40386.1,X57102,cphA7,ARO:3003103
AAP97129.1,AY261375,cphA8,ARO:3003104
AJP77054,KP109675,CPS-1,ARO:3003716
NP_312864.1,NC_002695,cpxA,ARO:3000830
NP_312865.1,NC_002695,cpxR,ARO:3000831
BAE77933.1,AP009048,CRP,ARO:3000518
CAA63262.1,X92506,CTX-M-1,ARO:3001864
AAT68658.1,AY598759,CTX-M-10,ARO:3001873
CBW46935.1,FR682582,CTX-M-100,ARO:3001959
ADY02545.1,HQ398214,CTX-M-101,ARO:3001960
ADY02546.1,HQ398215,CTX-M-102,ARO:3001961
CDG50843.1,HG423149,CTX-M-103,ARO:3001962
ADY02555.1,HQ833652,CTX-M-104,ARO:3001963
ADY02554.1,HQ833651,CTX-M-105,ARO:3001965
ADZ31262.1,HQ913565,CTX-M-106,ARO:3001966
AEM44650.1,JF274244,CTX-M-107,ARO:3001967
AEM44651.1,JF274245,CTX-M-108,ARO:3001968
AEM44654.1,JF274248,CTX-M-109,ARO:3001969
AAF93177.1,AY005110,CTX-M-11,ARO:3001874
AEM44648.1,JF274242,CTX-M-110,ARO:3001970
AEM44649.1,JF274243,CTX-M-111,ARO:3001971
AEM44652.1,JF274246,CTX-M-112,ARO:3001972
AEM44653.1,JF274247,CTX-M-113,ARO:3001973
ACU00153.1,GQ351346,CTX-M-114,ARO:3001974
AIL54055.1,KJ911020,CTX-M-115,ARO:3001975
AEI70324.1,JF966749,CTX-M-116,ARO:3001976
AET99223.1,JN227085,CTX-M-117,ARO:3001977
AAG34108.1,AF305837,CTX-M-12,ARO:3001875
AFA51699.1,JN790862,CTX-M-121,ARO:3001980
AFA51700.1,JN790863,CTX-M-122,ARO:3001981
AFA51701.1,JN790864,CTX-M-123,ARO:3001982
AFH88134.1,JQ429324,CTX-M-124,ARO:3001983
AFO69261.1,JQ724542,CTX-M-125,ARO:3001984
BAL72196.1,AB703103,CTX-M-126,ARO:3001985
AFJ59956.1,JX017364,CTX-M-129,ARO:3001988
AAF72531.1,AF252623,CTX-M-13,ARO:3001876
AFJ59957.1,JX017365,CTX-M-130,ARO:3001989
AEW46676.2,JN969893,CTX-M-131,ARO:3001990
AFQ94051.1,JX313020,CTX-M-132,ARO:3001991
AFX60298.1,JX896165,CTX-M-134,ARO:3001992
AGG08693.1,KC351754,CTX-M-136,ARO:3001995
BAO37256.1,AB900900,CTX-M-137,ARO:3001994
AFY98865.1,KC107824,CTX-M-139,ARO:3001997
AAF72530.1,AF252622,CTX-M-14,ARO:3001877
AGN11769.1,KC964871,CTX-M-141,ARO:3001999
AGW25368.1,KF240809,CTX-M-142,ARO:3002000
AHX39588.1,KJ020573,CTX-M-144,ARO:3002002
AHA80961.1,KF513180,CTX-M-147,ARO:3002005
AHX39589.1,KJ020574,CTX-M-148,ARO:3002006
AAL02127.1,AY044436,CTX-M-15,ARO:3001878
BAP34782.1,AB916359,CTX-M-151,ARO:3002008
AHY20039.1,KJ461948,CTX-M-152,ARO:3002009
AIS67611.1,KM211508,CTX-M-155,ARO:3003163
AIS67612.1,KM211509,CTX-M-156,ARO:3003164
AIS67613.1,KM211510,CTX-M-157,ARO:3003165
AIT97310.1,KM211691,CTX-M-158,ARO:3003166
AJO16046.1,KP050493,CTX-M-159,ARO:3003167
AAK32961.1,AY029068,CTX-M-16,ARO:3001879
AJU57235.1,KP128034,CTX-M-160,ARO:3003168
AAK71471.1,AY033516,CTX-M-17,ARO:3001880
AAK55534.1,AF325134,CTX-M-19,ARO:3001881
AAZ95872.1,DQ125241,CTX-M-2,ARO:3001865
CAC95175.1,AJ416344,CTX-M-20,ARO:3001882
CAD08929.1,AJ416346,CTX-M-21,ARO:3001883
AAL86924.1,AY080894,CTX-M-22,ARO:3001884
AAL99990.1,AF488377,CTX-M-23,ARO:3001885
AAN38836.1,AY143430,CTX-M-24,ARO:3001886
AAM70498.1,AF518567,CTX-M-25,ARO:3001887
AAN75444.1,AY157676,CTX-M-26,ARO:3001888
AAO61597.1,AY156923,CTX-M-27,ARO:3001889
CAD70280.1,AJ549244,CTX-M-28,ARO:3001890
AAP22736.1,AY267213,CTX-M-29,ARO:3001891
CAA71321.1,Y10278,CTX-M-3,ARO:3001866
AAP43508.1,AY292654,CTX-M-30,ARO:3001892
CAD99181.1,AJ567481,CTX-M-31,ARO:3001893
CAD89606.1,AJ557142,CTX-M-32,ARO:3001894
AAO88912.1,AY238472,CTX-M-33,ARO:3001895
AAR99493.1,AY515297,CTX-M-34,ARO:3001896
BAD83775.1,AB176534,CTX-M-35,ARO:3001897
BAD16611.1,AB177384,CTX-M-36,ARO:3001898
AAT70415.1,AY649755,CTX-M-37,ARO:3001899
AAV70602.1,AY822595,CTX-M-38,ARO:3001900
AAX54694.1,AY954516,CTX-M-39,ARO:3001901
CAA74573.1,Y14156,CTX-M-4,ARO:3001867
AAV28215.1,AY750914,CTX-M-40,ARO:3001902
AAY43008.1,DQ023162,CTX-M-41,ARO:3001903
AAY84742.1,DQ061159,CTX-M-42,ARO:3001904
AAZ14955.1,DQ102702,CTX-M-43,ARO:3001905
BAA07082.1,D37830,CTX-M-44,ARO:3001906
BAA28282.1,D89862,CTX-M-45,ARO:3001907
AAV97956.1,AY847147,CTX-M-46,ARO:3001908
AAV97952.1,AY847143,CTX-M-47,ARO:3001909
AAV97953.1,AY847144,CTX-M-48,ARO:3001910
AAV97954.1,AY847145,CTX-M-49,ARO:3001911
AAC32890.1,U95364,CTX-M-5,ARO:3001868
AAV97955.1,AY847146,CTX-M-50,ARO:3001912
ABA62022.1,DQ211987,CTX-M-51,ARO:3001913
ABB17185.1,DQ223685,CTX-M-52,ARO:3001914
ABB72225.1,DQ268764,CTX-M-53,ARO:3001915
ABC18328.3,DQ303459,CTX-M-54,ARO:3001916
ABI34705.1,DQ885477,CTX-M-55,ARO:3001917
ABN48311.1,EF374097,CTX-M-56,ARO:3001918
ABM97538.1,EF210159,CTX-M-58,ARO:3001919
ABD73290.1,DQ408762,CTX-M-59,ARO:3001920
CAA06311.1,AJ005044,CTX-M-6,ARO:3001869
CAL80726.1,AM411407,CTX-M-60,ARO:3001921
ABN09669.1,EF219142,CTX-M-61,ARO:3001922
ABP04245.1,EF219134,CTX-M-62,ARO:3001923
BAD90119.1,AB205197,CTX-M-63,ARO:3001924
BAF63422.1,AB284167,CTX-M-64,ARO:3001925
ABN69105.1,EF418608,CTX-M-65,ARO:3001926
ABQ45409.1,EF576988,CTX-M-66,ARO:3001927
ABS90365.1,EF581888,CTX-M-67,ARO:3001928
ABV81082.1,EU177100,CTX-M-68,ARO:3001929
ABY91281.1,EU402393,CTX-M-69,ARO:3001930
CAA06312.1,AJ005045,CTX-M-7,ARO:3001870
ACV92002.1,FJ815436,CTX-M-71,ARO:3001932
AAV97957.1,AY847148,CTX-M-72,ARO:3001933
ACS32293.1,GQ149243,CTX-M-74,ARO:3001935
ACS32294.1,GQ149244,CTX-M-75,ARO:3001936
CAQ42486.1,AM982520,CTX-M-76,ARO:3001937
CAQ42480.1,AM982521,CTX-M-77,ARO:3001938
CAQ42481.2,AM982522,CTX-M-78,ARO:3001939
ABO09821.1,EF426798,CTX-M-79,ARO:3001940
AAF04388.1,AF189721,CTX-M-8,ARO:3001871
ABW86620.2,EU202673,CTX-M-80,ARO:3001941
ABV57756.3,EU136031,CTX-M-81,ARO:3001942
ABB59946.1,DQ256091,CTX-M-82,ARO:3001943
ACI29345.1,FJ214366,CTX-M-83,ARO:3001944
ACI29346.1,FJ214367,CTX-M-84,ARO:3001945
ACI29347.1,FJ214368,CTX-M-85,ARO:3002495
ACI29348.1,FJ214369,CTX-M-86,ARO:3001946
ACB41777.1,EU545409,CTX-M-87,ARO:3001947
ACP18863.1,FJ873739,CTX-M-88,ARO:3001948
ACR56321.1,FJ971899,CTX-M-89,ARO:3001949
AAF05311.2,AF174129,CTX-M-9,ARO:3001872
ACQ99521.1,FJ907381,CTX-M-90,ARO:3001950
ACX34099.1,GQ870432,CTX-M-91,ARO:3001951
ACY74743.1,GU127598,CTX-M-92,ARO:3001952
ADN26580.1,HQ166709,CTX-M-93,ARO:3001953
ADK11041.1,HM167760,CTX-M-94,ARO:3001954
CBL80615.1,FN813245,CTX-M-95,ARO:3001955
CAG28417.1,AJ704396,CTX-M-96,ARO:3001956
ADO17948.1,HM755448,CTX-M-98,ARO:3001957
ADL27532.1,HM803271,CTX-M-99,ARO:3001958
WP_003096511.1,NC_008463.1,cycB,ARO:3003914
AAN62561.1,AY168442.1,"D-Ala-D-Ala ligase",ARO:3003970
AAC68679.1,AF079762.1,desR,ARO:3001293
CAC19929.1,AJ400733.1,dfrA1,ARO:3002854
YP_001715373.1,NC_010410,dfrA1,ARO:3002854
AHG97174.1,KF976462,dfrA10,ARO:3003011
AHW42429.1,KJ363320,dfrA12,ARO:3002858
CAA90683.1,Z50802,dfrA13,ARO:3003012
ACI32877.1,EU780012,dfrA14,ARO:3002859
AHB39758.1,KF534911,dfrA15,ARO:3003013
AAK60186.1,AF174129,dfrA16,ARO:3003014
ABG91835.1,DQ838665,dfrA17,ARO:3002860
CAC81324.1,AJ310778,dfrA19,ARO:3003015
CAE53424.1,AJ605332,dfrA20,ARO:3003016
CAP69659.1,AM932669,dfrA21,ARO:3003017
CAX16467.1,FM957884,dfrA22,ARO:3003018
CAG34233.2,AJ746361,dfrA23,ARO:3003019
CAI99385.1,AJ972619,dfrA24,ARO:3002856
ABB71176.1,DQ267940,dfrA25,ARO:3003020
CAL48457.1,AM403715,dfrA26,ARO:3002857
AAA25550.1,J03306,dfrA3,ARO:3003105
ABB89122.1,DQ278190,dfrA5,ARO:3002861
ACS44716.1,FJ854362,dfrA7,ARO:3002862
AHV80711.1,KJ174469,dfrA8,ARO:3002863
AAN41433.1,AY139601,dfrB1,ARO:3002864
FAA00064.1,BR000038,dfrB2,ARO:3003021
ACR57831.1,GQ150744,dfrB3,ARO:3003022
ADO00942.1,GU060319,dfrB6,ARO:3003023
AAO04716.1,AE015929,dfrC,ARO:3002865
AAA85213.1,U43152,dfrD,ARO:3002866
AAD01867.1,AF028811,dfrE,ARO:3002875
AAD01868.1,AF028812,dfrF,ARO:3002867
BAE15963.1,AB205645,dfrG,ARO:3002868
CBL80435.1,FN812951,dfrK,ARO:3002869
CAA76196.1,Y16410,DHA-1,ARO:3002132
AJO16043.1,KP050490,DHA-10,ARO:3002141
CDL68900.1,HG798963,DHA-12,ARO:3002143
AIT76108.1,KM087855,DHA-13,ARO:3002144
AIT76107.1,KM087854,DHA-14,ARO:3002145
AIT76106.1,KM087853,DHA-15,ARO:3002146
AIT76105.1,KM087852,DHA-16,ARO:3002147
AIT76103.1,KM087850,DHA-17,ARO:3002148
AIT76094.1,KM087841,DHA-18,ARO:3002149
AIT76102.1,KM087849,DHA-19,ARO:3002150
AAG36927.1,AF259520,DHA-2,ARO:3002133
AIT76101.1,KM087848,DHA-20,ARO:3002151
AIT76100.1,KM087847,DHA-21,ARO:3002152
AIT76109.1,KM087856,DHA-22,ARO:3002153
AAR87489.1,AY494945,DHA-3,ARO:3002134
AEL22919.1,JF273491,DHA-5,ARO:3002138
ADT91161.1,HQ322612,DHA-6,ARO:3002135
ADQ00385.1,HQ456945,DHA-7,ARO:3002136
AGC92784.1,KC004136,DIM-1,ARO:3000848
NP_217452.1,NC_000962.3,drrA,ARO:3003944
NP_217453.1,NC_000962.3,drrB,ARO:3003945
NP_217454.1,NC_000962.3,drrC,ARO:3003946
AGQ48857.1,KF010779.1,eatAv,ARO:3003761
AAN32638.1,AF416700,"EBR-1 beta-lactamase",ARO:3000842
BAG75524.1,AB467372.1,efmA,ARO:3003954
NP_217362.1,NC_000962.3,efpA,ARO:3003955
CDO61513.1,HG970100.1,efrA,ARO:3003948
CDO61516.1,HG970103.1,efrB,ARO:3003949
BAC11911.1,AB091338,emeA,ARO:3003551
BAA16547.1,AP009048,emrA,ARO:3000027
AAC75733.1,U00096,emrB,ARO:3000074
EFF04178.1,GG749185.1,emrD,ARO:3000309
NP_253677.1,NC_002516.2,emrE,ARO:3000264
YP_488830.1,NC_007779,emrE,ARO:3000264
BAA11236.1,D78168,emrK,ARO:3000206
NP_417169.1,NC_000913.3,emrR,ARO:3000516
BAA11237.1,D78168,emrY,ARO:3000254
CAC35723.1,AJ306389.1,"Enterobacter aerogenes acrR mutation conferring antibiotic resistance",ARO:3003374
AAK11270.1,AF335467,"Enterobacter aerogenes omp36 mutants",ARO:3003385
AEA93051.1,CP002621.1,"Enterococcus faecalis cls conferring resistance to daptomycin",ARO:3003760
NP_815496,NC_004668,"Enterococcus faecalis drmA mutant conferring daptomycin resistance",ARO:3003813
NP_815586,NC_004668,"Enterococcus faecalis gdpD mutant conferring daptomycin resistance",ARO:3003800
WP_002389492,NZ_CP014949,"Enterococcus faecalis gshF mutant conferring daptomycin resistance",ARO:3003805
AAO82601.1,AE016830,"Enterococcus faecalis liaF mutant conferring daptomycin resistance",ARO:3003077
NP_816529,NC_004668,"Enterococcus faecalis liaR mutant conferring daptomycin resistance",ARO:3003792
AAO82600.1,AE016830,"Enterococcus faecalis liaS mutant conferring daptomycin resistance",ARO:3003791
NP_815456,NC_004668,"Enterococcus faecalis YvlB mutant conferring daptomycin resistance",ARO:3003815
WP_002356022,NZ_CP014949,"Enterococcus faecalis YybT mutant conferring daptomycin resistance",ARO:3003797
AFK60084.1,CP003583,"Enterococcus faecium adeC",ARO:3000776
ALL09868,CP013009,"Enterococcus faecium cls conferring resistance to daptomycin",ARO:3003092
YP_006374661.1,NC_017960.1,"Enterococcus faecium EF-Tu mutants conferring resistance to GE2270A",ARO:3003438
CUX99269.1,LN999844.1,"Enterococcus faecium liaF mutant conferring daptomycin resistance",ARO:3003790
AFK58562.1,CP003583,"Enterococcus faecium liaR mutant conferring daptomycin resistance",ARO:3003078
AFK58561.1,CP003583,"Enterococcus faecium liaS mutant conferring daptomycin resistance",ARO:3003079
AAZ91706.1,DQ157752,EreA,ARO:3000361
AAC78336.1,AF099140,EreA2,ARO:3002826
CAA01212.1,A15097,EreB,ARO:3000363
AAC69328.1,AF079138,Erm(30),ARO:3001265
AAC69327.1,AF079138,Erm(31),ARO:3000598
NP_899170.1,NC_005076,Erm(33),ARO:3000599
AAP74657.1,AY234334,Erm(34),ARO:3000600
AAK07612.1,AF319779,Erm(35),ARO:3000604
AAL68827.1,AF462611,Erm(36),ARO:3000605
CCP44758.1,AL123456,Erm(37),ARO:3000392
AAN86837.1,AY154657,Erm(38),ARO:3000601
AAR92235.1,AY487229,Erm(39),ARO:3000602
ABW06859.1,EU177504,Erm(41),ARO:3000603
CBY77552.1,FR734406,Erm(42),ARO:3003106
CCF55073.1,HE650138,Erm(43),ARO:3003205
CUU67654.1,LN623525.1,erm(44),ARO:3003971
ANZ79476.1,KU612222.1,Erm(47),ARO:3003908
YP_001315192.1,NC_009632,ErmA,ARO:3000347
AAC45607.1,U48430,ErmB,ARO:3000375
CAJ68894.1,AM180355,ErmB,ARO:3000375
AAF86219.1,AF242872,ErmB,ARO:3000375
CAA58028.1,X82819,ErmB,ARO:3000375
CAA45935.1,X64695,ErmB,ARO:3000375
CAA68299.1,Y00116,ErmB,ARO:3000375
AAA25527.1,K00551,ErmB,ARO:3000375
AAA25634.1,M19270,ErmB,ARO:3000375
AAA98296.1,M12730,ErmC,ARO:3000250
AAA20192.1,M19652,ErmC,ARO:3000250
AAA98228.1,M17990,ErmC,ARO:3000250
CAA70207.1,Y09002,ErmC,ARO:3000250
CAA70208.1,Y09003,ErmC,ARO:3000250
CAA70206.1,Y09001,ErmC,ARO:3000250
AAC45552.1,U82607,ErmC,ARO:3000250
CAA57985.1,X82668,ErmC,ARO:3000250
AAA22599.1,M29832,ErmD,ARO:3000495
AAA22597.1,L08389,ErmD,ARO:3000495
CAB60001.1,X51891,ErmE,ARO:3000326
AAA88675.1,M17124,ErmF,ARO:3000498
AAC37034.1,L42817,ErmG,ARO:3000522
AAA22419.1,M15332,ErmG,ARO:3000522
AAC32026.1,M16503,ErmH,ARO:3002823
CAA66307.1,X97721,ErmN,ARO:3000592
CAA11706.1,AJ223970,ErmO,ARO:3001303
AAA26779.1,M74717,ErmO,ARO:3001303
AAC36915.1,L22689,ErmQ,ARO:3000593
ALX06067.1,CP011502.1,ErmR,ARO:3000594
AAA26742.1,M19269,ErmS,ARO:3001304
AAA98096.1,M64090,ErmT,ARO:3000595
CAA44667.1,X62867,ErmU,ARO:3001305
AAB51440.1,U59450,ErmV,ARO:3002824
BAA03402.1,D14532,ErmW,ARO:3001306
AAG03357.1,AF024666,ErmX,ARO:3000596
BAB20748.1,AB014481,ErmY,ARO:3002825
,U00096,"Escherichia coli 16S rRNA mutation conferring resistance to edeine",ARO:3003223
,U00096,"Escherichia coli 16S rRNA mutation in the rrnB gene conferring resistance to spectinomycin",ARO:3003377
,U00096,"Escherichia coli 16S rRNA mutation in the rrnB gene conferring resistance to streptomycin",ARO:3003406
,U00096,"Escherichia coli 16S rRNA mutation in the rrnB gene conferring resistance to tetracycline",ARO:3003411
,U00096,"Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to G418",ARO:3003397
,U00096,"Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to gentamicin C",ARO:3003396
,U00096,"Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to kanamycin A",ARO:3003399
,U00096,"Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to neomycin",ARO:3003402
,U00096,"Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to paromomycin",ARO:3003403
,U00096,"Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to spectinomycin",ARO:3003376
,U00096,"Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to streptomycin",ARO:3003405
,U00096,"Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to tetracycline",ARO:3003410
,U00096,"Escherichia coli 16S rRNA mutation in the rrsB gene conferring resistance to tobramycin",ARO:3003408
,U00096,"Escherichia coli 16S rRNA mutation in the rrsC gene conferring resistance to kasugamicin",ARO:3003333
,U00096,"Escherichia coli 16S rRNA mutation in the rrsH gene conferring resistance to spectinomycin",ARO:3003372
NP_414997.1,NC_000913.3,"Escherichia coli acrR mutants resulting in antibiotic resistance",ARO:3003807
NP_417798.1,NC_000913.3,"Escherichia coli EF-Tu mutants conferring resistance to Enacyloxin IIa",ARO:3003370
AAA50993.1,AH002539.2,"Escherichia coli EF-Tu mutants conferring resistance to kirromycin",ARO:3003368
AAN82549.1,AE014075,"Escherichia coli EF-Tu mutants conferring resistance to Pulvomycin",ARO:3003369
AAC75291.1,U00096,"Escherichia coli gyrA conferring resistance to fluoroquinolones",ARO:3003294
BAE77595.1,AP009048,"Escherichia coli gyrB conferring resistance to aminocoumarin",ARO:3003303
AAC74603.2,U00096,"Escherichia coli marR mutant conferring antibiotic resistance",ARO:3003378
CDJ73082,HG738867,"Escherichia coli mutant CyaA conferring resistance to fosfomycin",ARO:3003900
CDJ73082,HG738867,"Escherichia coli mutant CyaA conferring resistance to fosfomycin",ARO:3003900
CDJ72593,HG738867,"Escherichia coli mutant GlpT conferring resistance to fosfomycin",ARO:3003889
AIL15701,CP009072,"Escherichia coli mutant murA conferring resistance to fosfomycin",ARO:3003775
CDJ72759,HG738867,"Escherichia coli mutant PtsI conferring resistance to fosfomycin",ARO:3003899
CDJ73205,HG738867,"Escherichia coli mutant UhpA conferring resistance to fosfomycin",ARO:3003893
CDJ73205,HG738867,"Escherichia coli mutant UhpA conferring resistance to fosfomycin",ARO:3003893
CDJ73208,HG738867,"Escherichia coli mutant UhpT conferring resistance to fosfomycin",ARO:3003890
CDJ73208,HG738867,"Escherichia coli mutant UhpT conferring resistance to fosfomycin",ARO:3003890
NP_415372.1,NC_000913.3,"Escherichia coli nfsA mutations conferring resistance to nitrofurantoin",ARO:3003751
NP_415110.1,NC_000913.3,"Escherichia coli nfsB mutations conferring resistance to nitrofurantoin",ARO:3003756
YP_489201.1,NC_007779,"Escherichia coli ompF mutants",ARO:3003390
AAC76055.1,U00096,"Escherichia coli parC conferring resistance to fluoroquinolone",ARO:3003308
YP_491222.1,NC_007779,"Escherichia coli parE conferring resistance to fluoroquinolones",ARO:3003316
NP_312937.1,NC_002695,"Escherichia coli rpoB mutants conferring resistance to rifampicin",ARO:3003288
AAC77033.1,U00096,"Escherichia coli soxR mutants",ARO:3003381
NP_418486.1,NC_000913,"Escherichia coli soxS mutant",ARO:3003511
YP_491362.1,NC_007779,"Escherichia coli sulfonamide resistant mutant folP",ARO:3003386
AJP77085,KP109681,ESP-1,ARO:3003717
NP_311275.1,NC_002695,evgA,ARO:3000832
AAC75429.1,U00096,evgS,ARO:3000833
AAA26775.1,M28303,"EXO beta-lactamase",ARO:3003564
AFK80333.1,JQ768046,facT,ARO:3001313
NP_273367.1,NC_003112.2,farA,ARO:3003961
NP_273368.1,NC_003112.2,farB,ARO:3003962
CAD70268.1,AJ549214,fexA,ARO:3002704
CAB96921.1,Y17896,"FEZ-1 beta-lactamase",ARO:3000606
CAL30184.1,AM296480,floR,ARO:3002705
AAK02049.1,AF261825,floR,ARO:3002705
AAG16656.1,AF231986,floR,ARO:3002705
AAL33886.1,AF332662,floR,ARO:3002705
AAL59749.1,AY055428,floR,ARO:3002705
BAA32493.1,AB016934,FomA,ARO:3000423
BAA32494.1,AB016934,FomB,ARO:3000449
CBA31120.1,FN543093,FosA,ARO:3000149
NP_249820.1,NC002516,FosA,ARO:3000149
ACC85616.1,EU487198,FosA2,ARO:3002804
AEG78825.1,JF411006,FosA3,ARO:3002872
BAP18892.1,AB908992,FosA4,ARO:3003210
AJE60855.1,KP143090,FosA5,ARO:3003209
NP_831795.1,NC_004722.1,FosB,ARO:3000172
YP_001715981.1,NC_010419.1,FosB,ARO:3000172
ADX95999.1,HQ219726,FosB3,ARO:3002873
CAA83855.1,Z33413,FosC,ARO:3000380
BAJ10053.1,AB522969,FosC2,ARO:3002874
YP_490287.1,NC_007779,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
NP_310877.1,NC_002695,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
KES08587.1,JFCB01000001,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
NP_461046.1,NC_003197,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
AAC75106.1,U00096,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
YP_933824.1,NC_008702,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
CAB15427.1,AL009126,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
ADF62902.1,CP001918,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
BAE76571.1,AP009048,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
CAB16040.3,AL009126,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
BAH42640.1,AP008955,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
YP_934094.1,NC_008702,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
CAB15434.1,AL009126,"fosfomycin sensitive pyruvyl transferase (murA)",ARO:3000724
